команда,перевод
--allow-insecure-localhost,"Включает ошибки TLS/SSL на LocalHost игнорировать (без интерстициального, без блокировки запросов)."
--allow-legacy-extension-manifests,"Позволяет браузеру загружать расширения, которым не хватает современного манифеста, когда это иначе было бы запрещено."
--allow-loopback-in-peer-connection,Позволяет добавлять интерфейс Loopback в сетевом списке для подключения к однократным.
--allow-nacl-crxfs-api[2],"Определяет разделенный запятой список идентификаторов или хостов расширения, чтобы предоставить доступ к API-системы файловой системы CRX."
--allow-nacl-file-handle-api[2],"Определяет разделенный запятой список идентификаторов или хостов расширения, чтобы предоставить доступ к API-файлам обработки файлов."
--allow-nacl-socket-api[2],"Определяет разделенный запятой список идентификаторов или хостов расширения, чтобы предоставить доступ к API-интерфейсам сокетов TCP/UDP."
--allow-os-install,"Когда этот флаг установлен, можно получить доступ к пользовательскому интерфейсу ОС. Это позволяет пользователю устанавливать с USB на диск."
--allow-pre-commit-input,"Позволяет обрабатывать входные данные перед кадром. Todo (crbug.com/987626): используется без головы. Ищите способ, не включающий коммутатор командной строки."
--allow-profiles-outside-user-dir,"Позволяет создавать профили вне пользовательского DIR DIR. Todo (https://crbug.com/1060366): различные места в Chrome Предположим, что все профили находятся в режиме пользовательских данных. Некоторые тесты должны нарушить это предположение. Переключатель должен быть удален после того, как этот обходной путь больше не нужен."
--allow-ra-in-dev-mode[3],"Позволяет удаленной аттестации (RA) в режиме DEV для целей тестирования. Обычно RA отключен в режиме DEV, потому что он всегда терпит неудачу. Тем не менее, есть случаи в тестировании, где мы хотим пройти через поток разрешений даже в режиме DEV. Это может быть включено этим флагом."
--allow-running-insecure-content[4],без описания
--allow-sandbox-debugging,Позволяет отлаживать процессы с песочницей (см. ZYGOTE_MAIN_LINUX.CC).
--allow-silent-push,"Позволяет веб -уведомления, которые не показывают уведомление."
--allow-third-party-modules[1],Позволяет сторонним модулям вводить путем отключения политики смягчения бинарного_синьюра на WIN10+. Также имеет другие эффекты в ELF.
--allowlisted-extension-id,Добавляет заданный идентификатор расширения ко всем разрешению разрешений.
--almanac-api-url,"Переопределение для URL, используемого для API Chromeos Almanac. Используется для локального тестирования с помощью непроизводственного сервера (например, ""-Almanac-api-url = http: // localhost: 8000"")."
--alsa-amp-device-name,"Название устройства Следует открыть микшер AMP. Если этот флаг не будет указан, он по умолчанию по умолчанию будет то же устройство, что и kalsavolumedeviceName."
--alsa-amp-element-name,"Название простого элемента управления микшером, который должен использовать медиа-библиотеку на основе ALSA для переключения режима PowerSave в системе."
--alsa-check-close-timeout,"Время в MS, чтобы подождать перед закрытием ручки PCM, когда больше входов микшера не останется. Предполагается, что присутствует 0, если-Accept-Resource-Provider."
--alsa-enable-upsampling,"Флаг, который позволяет повторной дискретизации звука с частотой дискретизации ниже 32 кГц до 48 кГц. Должен быть установлен на True для внутренних аудиопродуктов."
--alsa-fixed-output-sample-rate,"Дополнительный флаг, чтобы установить фиксированную скорость дискретизации для устройства ALSA. Установилось: используйте-Audio-Opput-Sample-Rate."
--alsa-input-device[5],Устройство ALSA для использования при открытии аудио входного потока.
--alsa-mute-device-name,"Название устройства. Молочный микшер должен быть открыт. Если этот флаг не будет указан, он по умолчанию по умолчанию будет то же устройство, что и kalsavolumedeviceName."
--alsa-mute-element-name,"Название простого элемента управления миксером, который должен использовать медиа-библиотеку на основе ALSA для отключения системы."
--alsa-output-avail-min,Минимальное количество доступных кадров для планирования передачи.
--alsa-output-buffer-size,Размер выходного буфера ALSA в кадрах. Это напрямую устанавливает задержку устройства вывода. Задержка может быть рассчитана путем умножения скорости дискретизации на размер выходного буфера.
--alsa-output-device[5],Устройство ALSA для использования при открытии аудио -потока.
--alsa-output-period-size,"Размер выходного периода ALSA в кадрах. Период устройства вывода ALSA определяет, сколько кадров проходит между прерываниями аппаратного обеспечения."
--alsa-output-start-threshold,Сколько кадров должно быть в выходном буфере перед началом выхода.
--alsa-volume-device-name,"Название устройства. Должен открывать микшер управления громкостью. Будет использовать то же устройство, что и kalsaoutputdevice, и вернется к «по умолчанию», если kalsaoutputdevice не поставляется."
--alsa-volume-element-name,"Название простого элемента управления микшером, который должен использовать медиа-библиотеку на основе ALSA для управления томом."
--also-emit-success-logs,Также испускайте полные журналы трассировки событий для успешных тестов.
--always-enable-hdcp,Вызывает HDCP указанного типа всегда быть включенным при подключении внешнего дисплея. Используется для тестирования соответствия HDCP на ChromeOS.
--always-use-complex-text,Всегда используйте сложный текстовый путь для веб -тестов.
--alwaystrue,без описания
--angle,без описания
--animated-image-resume,Включает метод резюме на анимированных изображениях.
--animation-duration-scale,"Масштабная коэффициент, чтобы применить к каждой продолжительности анимации. Должен быть> = 0,0. Это будет применяться только к линеаранимации и ее подклассам."
--app,"Указывает, что связанное значение должно быть запущено в режиме «приложения»."
--app-auto-launched,"Указывает, было ли приложение, запущенное в режиме киоска, было автоматически запущено с нулевой задержкой. Используется для правильного восстановления автоматического состояния во время потока восстановления сеанса."
--app-id,"Указывает, что расширение-приложение с указанным идентификатором должно быть запущено в соответствии с его конфигурацией."
--app-launch-url-for-shortcuts-menu-item,"Переопределяет URL -адрес запуска приложения с указанным URL. Это используется вместе с Kappid для запуска данного приложения с URL -адресом, соответствующего элементу в меню ярлыков приложения."
--app-mode-auth-code,Значение кода auth auth Gaia для-режима--приложения.
--app-mode-oauth-token,Значение токена обновления OAuth2 для режима--приложения.
--app-mode-oem-manifest,Путь к файлу манифеста приложения.
--app-run-on-os-login-mode,"Это используется вместе с Kappid, чтобы указать, что приложение было запущено при входе в систему ОС, и в каком режиме приложения было запущено приложение."
--app-shell-allow-roaming[6],Разрешить роуминг в сотовой сети.
--app-shell-host-window-size[6],Размер для окна хоста для создания (то есть «800x600»).
--app-shell-preferred-network[6],SSID предпочтительной сети Wi -Fi.
--apple,без описания
--apps-gallery-download-url,"URL, который API -интерфейс загружает расширения. Примечание. URL должен содержать один «%s» для идентификатора расширения."
--apps-gallery-update-url,"URL обновления, используемое расширениями Gallery/Webstore."
--apps-gallery-url,URL для использования для ссылки галереи в пусковой установке приложения.
--apps-keep-chrome-alive-in-tests[7],"Предотвращает увольнение Chrome, когда приложения Chrome открыты."
--arc-availability,"Сигналы дуговой поддержки на этом устройстве. Это может занять одно из следующих трех значений. - Нет: дуга не установлена ​​на этом устройстве. (по умолчанию) - установлено: ARC установлен на этом устройстве, но не поддерживается официально. Пользователи могут включить ARC только при включении эксперимента Finch. - Официально поддерживается: ARC установлена ​​и поддерживается на этом устройстве. Таким образом, пользователи могут включить ARC через настройки и т. Д."
--arc-available,"Установите: Пожалуйста, используйте-Aarc-Advailability = установлен. Сигнализирует о наличии экземпляра Arc на этом устройстве."
--arc-block-keymint,"Переключатель, который блокирует Keymint. Когда Keymint заблокирован, Keymaster включен."
--arc-data-cleanup-on-start,"Флаг, который заставляет дуговые данные очищаться при каждом старте."
--arc-disable-app-sync,"Флаг, который отключает Arc App Sync Flow, который молча устанавливает некоторые приложения. Используется в аутотестатах для разрешения ярких условий."
--arc-disable-download-provider,"Флаг, который отключает поставщик загрузки ARC, который предотвращает загрузку и установку дополнительного контента в контексте Play Store и GMS Core."
--arc-disable-gms-core-cache,"Используется в AutoTest для отключения кэша GMS-ядерных, которые включены по умолчанию."
--arc-disable-locale-sync,"Флаг, который отключает синхронизацию Arc Locale с контейнером Android. Используется в AutoTest для предотвращения условий, когда определенные приложения, в том числе Play Store, могут быть перезапущены. Перезагрузка игрового магазина может вызвать случайные сбои теста. Включение этого флага также заставляет дуговой контейнер использовать «en-us» в качестве локали и «en-us, en» в качестве предпочтительных языков."
--arc-disable-media-store-maintenance,"Используется для отключения графика GMS периодической индексации медиа -магазина и задач по обслуживанию корпораций. Используется в тестировании производительности для предотвращения запуска во время тестирования, что может привести к нестабильным результатам или процессору, а не на простаивании предварительного тестирования."
--arc-disable-play-auto-install,"Флаг, который отключает Arc Play Auto Install Flow, который молча устанавливает набор предопределенных приложений. Используется в аутотестатах для разрешения ярких условий."
--arc-disable-tts-cache,"Используется в AutoTest для отключения кэша TTS, который включен по умолчанию."
--arc-disable-ureadahead,"Флаг, который полностью отключает Ureadahead, включая частей хозяина и гостей. Чтобы включить только гость Ureadahead, используйте-Aarcvm-Uradahead-Mode = ReadaHead в сочетании с этим переключателем (см. Todo (B/264585671): Refactore This и | KarchostureAdaHeadGeneration | к режиму перечисления."
--arc-erofs,"Флаг, который указывает на дуговые изображения, отформатированы с помощью EROF (GO/ARCVM-EROFS)."
--arc-force-enable-apk-cache,"Если установлено, силы APK Cache будут включены для тестирования."
--arc-force-post-boot-dex-opt,"Если установить, силы публикуют загрузку Dexopt, чтобы запустить немедленно без требования к холостому устройству."
--arc-force-show-optin-ui,"Флаг, который заставляет пользовательский интерфейс OPTIN показывать. Используется в тестах."
--arc-generate-play-auto-install,"Флаг, который позволяет опциям разработчика, необходимым для создания списка Aur Il Aur Install. Использовал вручную разработчиками."
--arc-host-ureadahead-generation,"Флаг, который указывает на сеанс генерации хозяина UreadaHead. Обратите внимание, что это все еще действителен даже в случае установки KarcDisableUreaDhead. Todo (B/264585671): Refactor This и | karcdisableUreaDahead | к режиму перечисления."
--arc-install-event-chrome-log-for-tests,Напишите Arc ++ Установить события в журнал Chrome для тестирования интеграции.
--arc-packages-cache-mode,"Используется в AutoTest, чтобы указать, как обрабатывать кеш -пакеты. Может быть копирование - копирование полученных паксов. Xml во временный каталог. Skip -Copy - Пропустить начальные пакеты настройки и копирование кэша и копирование Packages.xml во временный каталог."
--arc-play-store-auto-update,Используется в AutoTest для сил игры в магазине Auto-Update. Может быть включен - Auto -Update вынужден. OFF - Auto -Update вынужден отключиться.
--arc-scale,"Установите шкалу для ARC Apps. Это в DPI. например 280 DPI - это ~ 1,75 коэффициента шкалы устройства. См. Https://source.android.com/compatibility/android-cdd3_7_runtime_compatibility для списка поддерживаемых значений DPI."
--arc-start-mode,"Определяет, как начать ARC. Это может занять одно из следующих значений: - Всегда начинается автоматически начинать с поддержки пользовательского интерфейса Play Store. -Всегда стартовать с но-игрой автоматически начинается без пользовательского интерфейса Play Store. Если он не установлен, то ARC запускается в режиме по умолчанию."
--arc-tos-host-for-tests,Устанавливает URL -адреса HOSTNAME ARC SERAD для тестирования.
--arc-use-dev-caches,"Флаг, который указывает на ARC, использует Dev -кэши, сгенерированные коллекционером данных в UpREV, а не в кэшах со стадии сборки Cros для сервиса ArcCachesetUp."
--arcvm-ureadahead-mode,"Устанавливает режим работы для UreadaHead во время загрузки ARCVM. Если этот переключатель не установлен, ArcVM UreadaHead проверит наличие и возраст файла Pack и считывает файлы впереди в кэше страницы для улучшения производительности загрузки. readahead (по умолчанию) - используется во время производства и эквивалентно установке коммутатора. Это используется в Tast Test, чтобы явно включить гость Ureadahead (см. Генерация - используется во время коллекционера данных Android PFQ для предварительного генерального файла Pack и загрузить в Google Cloud в качестве артефакта сборки для изображения Cros Build. Отключено - используется для испытательного целей, чтобы отключить Ureadahead во время загрузки ARCVM. ПРИМЕЧАНИЕ, | karcdisableuraidahead | Также отключает как гость, так и ведущие части Ureadahead."
--arcvm-use-hugepages,"Madvises ядро, чтобы использовать огромные страницы для памяти гостей."
--as-browser,Флаг для запуска тестов в процессе браузера.
--ash-allow-default-shelf-pin-layout-ignoring-sync,"Позволяет пепельной полке применить макет PIN -кода по умолчанию, не ожидая, что синхронизация скачивает данные с сервера (чего многие тесты не могут достичь)."
--ash-bypass-glanceables-pref,"Позволяет обходить PREF Glanceablesenabled. Это требует, чтобы функция Kglanceablesv2 также включена. Предназначен для обеспечения обеспечения Glanceables для тестирования."
--ash-clear-fast-ink-buffer,"Очистить быстрый буфер чернил при создании. Это необходимо на некоторых устройствах, которые не обнуляют новые буферы."
--ash-constrain-pointer-to-root,"Заставьте положение указателя (курсор), чтобы хранить в корневых окнах."
--ash-contextual-nudges-interval,"Переопределяет минимальное время, которое должно пройти между показом контекстуальных подталкиваний пользователя. Единица времени находится в секундах."
--ash-contextual-nudges-reset-shown-count,Сбросить контекстуальное подталкивание показано на подборе на логин.
--ash-debug-shortcuts,"Включите ярлыки клавиш, полезные для отладки."
--ash-dev-shortcuts,"Включите сочетания клавиш, используемые только разработчиками."
--ash-disable-touch-exploration-mode,"Отключите режим исследования сенсорного исследования. Режим исследований прикосновения больше не будет включаться автоматически, когда разговорная обратная связь включена при установке этого флага."
--ash-enable-cursor-motion-blur,Включить курсор движения размытия.
--ash-enable-magnifier-key-scroller,Включает привязки клавиш для прокрутки увеличенного экрана.
--ash-enable-palette-on-all-displays,"Включает палитру на каждом дисплее, а не только внутренней."
--ash-enable-software-mirroring,Включает программное зеркалирование.
--ash-enable-unified-desktop[6],Включает унифицированный режим рабочего стола.
--ash-hide-notifications-for-factory,"Скрывает уведомления, которые не имеют отношения к хромированному заводскому тестированию устройств ОС, таким как обновления уровня батареи."
--ash-host-window-bounds,"Устанавливает размер окна, необязательное положение, необязательный коэффициент масштабирования и дополнительные радиусы панели. «1024x768» создает окно размера 1024x768. «100+200-1024x768» позиционирует окно на 100 200. «1024x768*2» устанавливает масштабное коэффициент на 2 для высокого DPI -дисплея. ""1024x768 ~ 15 | 15 | 12 | 12"" Устанавливает радиусы углов панели как (overs_left = 15px, overs_right = 15px, lower_right = 12px, overs_left = 12px) ""800,0+800-800x800"" для двух отображений на 800x800) ""800,0+800-800x800"". разрешение. «800,0+800-800x800,0+1600-800x800» для трех дисплеев с разрешением 800x800."
--ash-no-nudges,"Укрывает образовательные подталкивания, которые могут мешать вкусовым интеграционным тестам. Несмотря на то, что вроде-нет первого, но влияет на поведение пользователя системы, а не на поведение браузера."
--ash-power-button-position,"Положение кнопки питания включает в себя физическую сторону дисплея кнопки питания и процент для центра кнопки питания к ширине/высоте дисплея в LANDSCAPE_PRIMARY ENRIPATION. Значение - это объект JSON, содержащий свойство «позиции» со значением «левое», «справа», «вверху» или «нижняя». Для «левого» и «справа» свойство «Y» указывает центральное положение кнопки как часть высоты дисплея (в [0,0, 1,0])) относительно верхней части дисплея. Для «верхнего» и «внизу» свойство «X» дает позицию как часть ширины дисплея относительно левой стороны дисплея."
--ash-side-volume-button-position,"Информация о физическом положении кнопки бокового громкости, находящейся в ландшафтной ориентации первичной экрана. Значение представляет собой объект JSON, содержащий свойство «региона» со значением «клавиатура», «экран» и свойство «боковой» со значением «слева», «справа», «Верх», «нижний»."
--ash-touch-hud,Включите дисплей Heads-Up для отслеживания точек сенсорных точек.
--attestation-server,"Используется в AttestationClient, чтобы определить, какой Ca -Crivacy CA для аттестации используется для аттестации."
--attribution-reporting-debug-mode,"Приводит к тому, что API отчета о атрибуции работает без задержек и шума."
--audio,без описания
--audio-buffer-size,Позвольте пользователям указать пользовательский размер буфера для отладки.
--audio-capturer-with-echo-cancellation[8],"Силы Audiomanagerfuchsia предположить, что аудиокапт реализует отмену эха. Todo (crbug.com/852834): удалить это, как только Audiomanagerfuchsia обновляется, чтобы получить эту информацию от AudioCapturerFactory."
--audio-codecs-from-edid[9],"Аудиокодеки, поддерживаемые раковиной HDMI, извлекаются из процесса аудио -сервиса. Эдид содержит короткие аудио дескрипторы, в которых поддерживаются поддерживаемые аудио декодеры, а информация представлена ​​в виде бит -маски поддерживаемых аудиокодеков."
--audio-output-channels,Количество аудио выходных каналов. Это будет использоваться для отправки аудио буферного буфера с определенным количеством каналов в ALSA и генерировать звук Loopback. Значение по умолчанию 2.
--audio-output-sample-rate,"Укажите фиксированную скорость дискретизации для аудио выходного потока. Если этот флаг не указан, Streammixer выберет скорость дискретизации на основе скорости дискретизации потока носителя."
--audio-process-high-priority[1],Используйте высокий приоритет для аудио процесса.
--audio-service-quit-timeout-ms,"Установите тайм -аут (в миллисекундах) для того, чтобы аудио -сервис, чтобы уйти, если нет клиентских подключений. Если значение отрицательно, сервис никогда не уходит."
--aue-reached-for-update-required-test,"Если этот переключатель пройден, Devieminimumversion политика устройства предполагает, что устройство достигло истечения срока действия автоматического обновления. Это полезно для тестирования политического поведения на DUT."
--aura-legacy-power-button,"(Большинство) Hrome OS Adware Adware сообщает о выпуске кнопки Power ACPI правильно. Стандартные аппаратные отчеты выпускаются сразу после прессов. Если установить, мы блокируем экран или немедленно выключаем систему в ответ на нажжение вместо отображения интерактивной анимации."
--auth-server-allowlist,Allowlist для переговоров Auth Servers.
--auth-spnego-account-type[10],Тип учетной записи аутентификации Android для аутентификации SPNEGO
--auto,без описания
--auto-accept-camera-and-microphone-capture,"Обходит диалоговое окно, побуждая пользователя разрешение захватывать камеры и микрофоны. Полезно в автоматических тестах веб-приложений с помощью видео-конференций. Это почти идентично Kusefakeuiformediastream, за исключением того, что этот флаг не влияет на захват экрана."
--auto-accept-this-tab-capture,"Этот флаг делает запросы Chrome Auto-Acept/отклонение, чтобы захватить текущую вкладку. Его следует использовать только для тестов."
--auto-open-devtools-for-tabs,"Этот флаг делает Hrome Auto-Open Devtools окном для каждой вкладки. Он предназначен для использования разработчиками и автоматизацией, чтобы не требовать взаимодействия с пользователем для открытия DevTools."
--auto-reject-this-tab-capture,без описания
--auto-select-desktop-capture-source,"Этот флаг делает Chrome автоматически выбрать предоставленный выбор, когда расширение требует разрешения на запуск настольного захвата. Следует использовать только для тестов. Например,-Auto-select-desktop-capture-source = ""весь экран"" автоматически выберет обмен всем экраном в английских локалах. Значение коммутатора должно быть только подстроением имени источника захвата, то есть «дисплей» будет соответствовать «встроенному дисплее» и «внешнему дисплею», в зависимости от того, что наступит."
--auto-select-tab-capture-source-by-title,"Этот флаг делает Chrome автоматически выбрать вкладку с предоставленным заголовком, когда для пользователя следует отображать в противном случае для медиа-пикер. Этот переключатель очень похож на kautoselectdesktopcapturesource, но ограничивает выбор на вкладки. Это решает вопрос о том, что kautoselectdesktopcapturesource может случайно захватить окно хрома вместо вкладки, поскольку оба имеют одинаковое название, если вкладка сфокусирована."
--autofill-api-key,"Устанавливает ключ API, который будет использоваться при вызове API AUTOBILL вместо использования запеченного ключа Chrome по умолчанию. Вы можете использовать это для тестирования новых версий API, которые еще не связаны с хромированным запеченным ключом."
--autofill-ios-delay-between-fields,Задержка между заполнением двух полей.
--autofill-server-url,"Переопределить URL сервера по умолчанию по умолчанию с помощью ""Smech: // host [: port]/prefix/""."
--autofill-upload-throttling-period-in-days,"Количество дней после сброса реестра событий автозаполнения, для которых была отправлена ​​загрузка."
--autoplay-policy,"Имя флага командной строки, чтобы установить политику автоматического раздела."
--back-gesture-horizontal-threshold,"Количество пикселей с начала левого жеста, чтобы рассматривать жест «заднего»."
--background-tracing-output-file,"Устанавливает мест для локального файла для отслеживания данных. Это используется только в том случае, если также указана KenableBackgroundtracing."
--bgra,без описания
--biod-fake,"Обеспечивает биодическое поддельное поведение. Если переключатель установлен, клиент Fake Biod D-BUS инициализируется, а биологические события не достигают хрома."
